screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
KanganaTeam,2020-12-12T06:18:41Z,"He had threatened to break my face when I had said Mumbai was feeling like POK.
India recognise those who are staking everything for you and those who are taking everything from you.
Where you place your faith their lies your future. 
India Pakistan na ban jaye sambhalo yaaron 🙏 https://t.co/3XdWF2m8vC",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337643015486267394
KanganaTeam,2020-12-11T14:12:25Z,"Today after working in a 12 hours shift in Hydrabad this evening I flew down to Chennai to attend a charity event, how do I look in yellow? Also #Diljit_Kitthe_aa ?
Everyone is looking for him here on twitter 🌹 https://t.co/Sbx6K4Shvb",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337399843971469313
KanganaTeam,2020-12-11T12:10:56Z,"Again what I said was true, hypothetically speaking if this matter was in court today I would have been officially vindicated, next time chillar party before abusing, harassing, mocking or targeting me remember you are talking to the MOTHER 👑 of all fathers...
#Diljit_Kitthe_aa https://t.co/cBcIOSkYNF",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337369274969595904
KanganaTeam,2020-12-11T10:25:49Z,"Everyone saw you .... even you saw yourself .... 👏👏👏
Are you scared ? 
Because I am .....",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337342819267035136
KanganaTeam,2020-12-11T10:24:25Z,"I said what intelligence saying today but for me people trended Diljit ne Kangana ko pel diya, which means Diljit raped Kangana, this the the trend all librals ran a single woman was emotionally and psychologically raped and there were cheerleaders who clapped... I saw you all..",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337342465305497600
KanganaTeam,2020-12-11T10:16:37Z,"LOL and they said I should apologise, everyone who aksed me to apologise must apologise to me, just because you don’t have foresight, depth,clear perception,above all honesty to see what is, you cant call me names, run offensive trends and brand me BJP spokesperson. Say sorry ! https://t.co/tjIa2lcBXA",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337340502748835842
KanganaTeam,2020-12-11T06:40:01Z,"@goelgauravbjp @diljitdosanjh For his two minutes fame he ruined India’s image internationally, people are laughing at us, these shallow opportunists who have millions of followers they use their reach and influence to cause unrest and riots in the country, and then openly celebrate,  such a shame ....",goelgauravbjp,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337285995583123456
KanganaTeam,2020-12-11T06:18:48Z,"Thank you paji local krantikari @diljitdosanjh ji ko punjabi mein samjhado please 🙏
Mujhse bahut gussa ho gaye the woh jab maine samjhane ki koshish ki 🙏 https://t.co/KOe1Qljxcm",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1337280656724910080
KanganaTeam,2020-12-11T02:57:49Z,"प्रिय @diljitdosanjh @priyankachopra अगर सच में किसानों की चिंता है, अगर सच में अपनी माताओं का आदर सम्मान करते हो तो सुन तो लो आख़िर फ़ार्मर्ज़ बिल है क्या! या सिर्फ़ अपनी माताओं, बहनों और किसानों का इस्तेमाल करके देशद्रोहियों कि गुड बुक्स में आना चाहते हो? वाह रे दुनिया वाह 🙂 https://t.co/46xKrtpQt2",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1337230078669774849
KanganaTeam,2020-12-11T02:25:31Z,"Felicitate them with awards, the problem is whole system is designed to make anti nationals flourish and grow and we are too less in numbers against a corrupt system, but I am sure magic will happen in every fight of GOOD versus EVIL, evil has been much stronger, JAI SHRI RAM 🙏",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337221947608821762
KanganaTeam,2020-12-11T02:19:33Z,"People like @diljitdosanjh and @priyankachopra will be hailed by the left media for misleading and encouraging farmers protests,pro Islamists and anti India film industry and brands will flood them with offers and English/living in colonial hangover media houses will (cont)",KanganaTeam,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337220446274551809
KanganaTeam,2020-12-11T02:15:45Z,"Problem is not just them but each and every individual who supports them and opposes #FarmersBill_2020 they are all aware how important this bill is for farmers still they provoke innocent farmers to incite violence, hatred and Bharat Band for their petty gains ( cont) https://t.co/JW2qU1LM0H",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337219490308714496
KanganaTeam,2020-12-10T13:50:31Z,"When I see such disturbing images I tell myself to take deep breaths and remind myself the world was doing fine before me it will continue to do so after me,world was never fair it will never be,at times all we need is acceptance, everyone who feels pangs of helplessness,BREATHE https://t.co/xBrrGOskci",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1337031947474919430
KanganaTeam,2020-12-10T03:55:56Z,"Maa Durga chose me to build her temple, what our ancestors built for us it is not a patch on their achievements Devi is very kind to accept this humble abode but someday I wish to build a temple that will match up to her glory and our great civilisation. Jai Mata di. https://t.co/KuWxItSSCE",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1336882316564713472
KanganaTeam,2020-12-09T03:48:17Z,"Everyday we hear about many cases like these,don’t get why some people have problems with laws against love jihad,if it’s a love marriage and suppose even after finding true identities both are happy good for them but if a woman feels betrayed/cheated how will she seek justice? https://t.co/EFa4w1J8VP",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1336518001680637953
KanganaTeam,2020-12-08T16:56:01Z,"@PawanDurani She is Rukmini Vijayakumar a renowned Bharatnatyam dancer, I am also a fan 🙂",PawanDurani,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1336353852233306112
KanganaTeam,2020-12-08T01:35:22Z,"आओ भारत को बंद कर देते हैं, यूँ तो तूफ़ानों कि कमी नहीं इस नाव को, मगर लाओ कुल्हाड़ी कुछ छेद भी कर देते हैं, रह रह के रोज़ मरती है हर उम्मीद यहाँ, देशभक्तों से कहो अपने लिए देश का एक टुकड़ा अब तुम भी माँग लो, आजाओ सड़क पे और तुम भी धरना दो, चलो आज यह क़िस्सा ही ख़त्म करते हैं 🙂 https://t.co/OXLfUWl1gb",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,hi,1336122165540765699
KanganaTeam,2020-12-07T04:16:08Z,"As a child I don’t remember playing with children, even then my favourite thing to do was to make fancy gowns, and clothes for my dolls and I loved to contemplate for hours on end, hence the deep thoughtful mature eyes, unfortunately some of us are born old and I am one of those. https://t.co/JyRJHFae12",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335800235889623040
KanganaTeam,2020-12-06T11:07:41Z,"By the way Mumbai Mirror wrote most vulgar and obnoxious blind items about Sushant Singh Rajput, he mentioned in his interviews that these rumours and smear campaigns by movie mafia make him feel depressed, yesterday the daily got shut #JustSaying",,,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335541418144751617
KanganaTeam,2020-12-06T09:06:51Z,RT @ExSecular: Listen to this real farmer https://t.co/Ps8VApWXdM,,ExSecular,"Artist, Recipient of Padmashri, Three national awards winner, highest grossing female centric films, Budding Filmmaker, Wannabe environmentalist❤️",Twitter for iPhone,en,1335511007112941568
